iter	Passed	Remaining
0	1	134
1	2	117
2	3	120
3	4	109
4	5	110
5	6	108
6	7	105
7	9	104
8	10	102
9	11	102
10	12	101
11	13	100
12	14	98
13	15	97
14	17	96
15	18	95
16	19	94
17	20	93
18	21	92
19	22	90
20	23	90
21	25	88
22	26	87
23	27	86
24	28	85
25	29	84
26	31	83
27	32	83
28	33	82
29	35	82
30	36	82
31	38	81
32	39	79
33	40	78
34	41	77
35	42	75
36	43	74
37	44	73
38	46	72
39	47	71
40	48	70
41	49	67
42	50	67
43	51	65
44	53	64
45	54	63
46	55	62
47	56	61
48	57	60
49	58	58
50	60	57
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	67	49
58	69	47
59	70	46
60	71	45
61	72	44
62	73	43
63	74	42
64	75	40
65	77	39
66	78	38
67	79	37
68	80	36
69	81	35
70	83	33
71	84	32
72	85	31
73	86	30
74	87	29
75	88	27
76	89	26
77	90	25
78	92	24
79	93	23
80	94	22
81	95	20
82	96	19
83	97	18
84	98	17
85	100	16
86	101	15
87	102	13
88	103	12
89	104	11
90	106	10
91	107	9
92	108	8
93	109	7
94	110	5
95	111	4
96	113	3
97	114	2
98	115	1
99	116	0
