iter	Passed	Remaining
0	0	844
1	1	879
2	2	878
3	3	858
4	5	1064
5	6	1147
6	7	1098
7	8	1035
8	9	1028
9	9	985
10	10	955
11	11	936
12	12	914
13	12	898
14	13	886
15	14	868
16	14	856
17	15	846
18	16	848
19	17	840
20	18	840
21	18	839
22	19	827
23	20	834
24	21	828
25	21	819
26	22	809
27	23	806
28	23	801
29	24	799
30	25	794
31	26	787
32	26	784
33	27	781
34	28	777
35	28	772
36	29	767
37	30	764
38	30	762
39	31	763
40	32	763
41	34	775
42	34	771
43	35	772
44	36	770
45	37	769
46	37	765
47	38	762
48	39	760
49	39	756
50	40	754
51	41	752
52	41	749
53	42	746
54	43	742
55	43	740
56	44	738
57	45	734
58	46	734
59	48	754
60	49	754
61	49	753
62	50	753
63	51	752
64	52	749
65	52	745
66	53	741
67	53	737
68	54	734
69	55	731
70	55	728
71	56	725
72	56	721
73	57	718
74	58	717
75	58	714
76	59	710
77	59	707
78	60	704
79	61	702
80	61	699
81	62	696
82	62	691
83	63	693
84	66	715
85	67	717
86	68	714
87	68	710
88	69	707
89	69	704
90	70	700
91	70	697
92	71	694
93	71	691
94	72	688
95	72	685
96	73	682
97	73	679
98	74	676
99	74	673
100	75	670
101	76	670
102	76	669
103	77	667
104	78	667
105	79	666
106	79	664
107	80	664
108	81	662
109	81	659
110	82	657
111	82	654
112	83	652
113	83	650
114	84	648
115	84	645
116	85	642
117	85	640
118	86	638
119	86	636
120	87	633
121	87	630
122	88	628
123	88	626
124	89	625
125	89	623
126	90	620
127	90	619
128	91	618
129	92	617
130	94	627
131	95	629
132	96	627
133	96	625
134	97	623
135	97	621
136	98	619
137	98	617
138	99	615
139	99	613
140	100	611
141	100	608
142	101	607
143	101	605
144	102	603
145	102	601
146	103	600
147	103	598
148	104	596
149	104	594
150	105	593
151	106	592
152	106	592
153	108	597
154	110	600
155	110	599
156	111	597
157	111	596
158	112	594
159	112	592
160	113	589
161	113	588
162	114	586
163	114	585
164	115	583
165	115	581
166	116	580
167	116	578
168	117	577
169	117	575
170	118	574
171	118	572
172	119	571
173	120	570
174	120	569
175	121	568
176	122	567
177	123	570
178	124	572
179	125	572
180	126	570
181	126	569
182	127	567
183	127	566
184	128	564
185	128	563
186	129	561
187	129	560
188	130	558
189	130	557
190	131	556
191	131	554
192	132	553
193	132	552
194	133	550
195	133	549
196	134	549
197	135	549
198	136	548
199	137	549
200	138	548
201	138	548
202	139	547
203	139	546
204	140	544
205	141	543
206	141	542
207	142	541
208	142	539
209	143	538
210	143	536
211	144	535
212	144	534
213	145	533
214	145	532
215	146	530
216	146	529
217	147	528
218	147	527
219	148	526
220	149	525
221	149	524
222	150	524
223	151	523
224	152	524
225	152	523
226	153	522
227	154	522
228	154	521
229	155	519
230	155	518
231	156	517
232	156	516
233	157	515
234	157	513
235	158	512
236	158	511
237	159	510
238	159	508
239	160	507
240	160	506
241	161	506
242	162	505
243	162	503
244	163	502
245	163	501
246	164	500
247	165	500
248	165	500
249	166	499
250	167	499
251	167	497
252	168	497
253	168	496
254	169	495
255	169	494
256	170	492
257	171	491
258	171	490
259	172	489
260	172	488
261	173	487
262	173	486
263	174	485
264	174	484
265	175	483
266	175	483
267	176	482
268	177	481
269	177	480
270	178	479
271	178	478
272	179	478
273	180	478
274	180	477
275	182	478
276	183	479
277	184	479
278	185	478
279	185	477
280	186	476
281	186	475
282	187	474
283	187	473
284	188	471
285	188	471
286	189	470
287	189	469
288	190	468
289	190	467
290	191	466
291	191	465
292	192	464
293	193	463
294	193	462
295	194	462
296	195	461
297	196	462
298	196	461
299	197	460
300	198	460
301	198	459
302	199	458
303	199	457
304	200	456
305	201	455
306	201	454
307	202	453
308	202	452
309	203	452
310	203	451
311	204	450
312	204	449
313	205	448
314	205	447
315	206	447
316	207	446
317	207	445
318	208	444
319	208	443
320	209	442
321	210	442
322	210	441
323	211	441
324	212	440
325	212	439
326	213	439
327	213	438
328	214	437
329	214	436
330	215	435
331	216	434
332	216	433
333	217	432
334	217	431
335	218	430
336	218	429
337	219	428
338	219	428
339	220	427
340	220	426
341	221	425
342	221	424
343	222	423
344	222	422
345	223	421
346	223	421
347	224	420
348	225	420
349	226	420
350	226	419
351	227	418
352	228	418
353	228	417
354	229	416
355	229	415
356	230	414
357	230	413
358	231	412
359	231	412
360	232	411
361	232	410
362	233	409
363	233	408
364	234	407
365	234	406
366	235	405
367	235	405
368	236	404
369	236	403
370	237	402
371	237	401
372	238	400
373	239	400
374	239	399
375	240	399
376	242	400
377	243	400
378	244	400
379	244	399
380	245	398
381	245	397
382	246	396
383	246	396
384	247	395
385	247	394
386	248	393
387	248	392
388	249	391
389	249	390
390	250	389
391	250	389
392	251	388
393	263	404
394	263	403
395	264	403
396	264	402
397	265	401
398	265	400
399	266	399
400	266	398
401	267	397
402	267	396
403	268	395
404	268	394
405	269	394
406	270	393
407	270	392
408	271	392
409	272	391
410	272	391
411	273	390
412	274	389
413	274	389
414	275	388
415	275	387
416	276	386
417	276	385
418	277	384
419	277	383
420	278	382
421	278	381
422	279	381
423	279	380
424	280	379
425	280	378
426	281	377
427	281	376
428	282	375
429	282	375
430	283	374
431	284	373
432	284	372
433	285	372
434	286	371
435	286	371
436	287	370
437	288	370
438	289	369
439	289	368
440	290	367
441	290	367
442	291	366
443	291	365
444	292	364
445	292	363
446	293	362
447	293	361
448	294	361
449	294	360
450	295	359
451	295	358
452	296	357
453	296	356
454	297	356
455	297	355
456	298	354
457	299	353
458	299	353
459	300	353
460	302	353
461	304	354
462	305	354
463	305	353
464	306	352
465	306	351
466	307	350
467	307	350
